tank,trt,date,nobugs,ph,doperc,domg,cond,turb,bchlorraw,wchlor,rsurfarea,bchlor
15,1,20-Jun-16,36,8.21,89.8,7.15,1393,2.1,184.4,22,49.706,3.709813705
15,1,28-Jun-16,243,7.79,65.4,5.39,1623,1.9,49.64,4.58,53.44859,0.928742928
15,1,4-Jul-16,238,8.44,115.5,9.43,1619,1.2,75.3,2.4,62.35669,1.207568907
15,1,12-Jul-16,55,8.61,130.2,9.45,1591,1,102.46,3.6,19.54833,5.241368444
15,1,18-Jul-16,20,8.6,119.2,8.54,1395,0.9,47.44,7.93,33.65282,1.409688698
15,1,26-Jul-16,12,8.28,58.2,4.69,1517,1.4,22.95,5.17,32.8527,0.69857272
15,1,2-Aug-16,54,8.21,94.7,7.78,1667,0.9,20.9,1.96,48.88,0.427577741
22,1,20-Jun-16,19,8.6,116.1,9.08,1242,1.2,263.13,4.79,36.645,7.180515759
22,1,28-Jun-16,140,8.12,94.2,7.75,1468,1.6,124.3,6.12,27.71408,4.485084838
22,1,4-Jul-16,94,8.36,111.5,8.92,1475,1.5,5.66,4.81,13.93952,0.406039806
22,1,12-Jul-16,26,8.44,118.8,8.73,1533,2.9,48.17,23.24,34.97253,1.37736675
22,1,18-Jul-16,16,8.22,105.2,7.51,1359,1.21,58.31,5.73,36.37473,1.603035954
22,1,26-Jul-16,18,8.02,44.5,3.58,1502,2,44.37,7.78,29.9081,1.483544592
22,1,2-Aug-16,5,8.57,105.1,8.6,1626,0.9,50.81,2.36,23.67,2.146599071
24,1,20-Jun-16,15,8.92,133.6,10.31,1283,0.3,216.97,1.21,28.116,7.716958316
24,1,4-Jul-16,43,8.56,117.5,9.39,1577,0.8,22.66,3.02,40.82878,0.555000664
24,1,12-Jul-16,12,8.26,107.7,7.9,1610,1.3,36.24,7.94,39.09665,0.926933638
24,1,18-Jul-16,10,8.52,125.8,8.87,1451,0.7,49.82,2.96,25.7345,1.935922594
24,1,2-Aug-16,11,8.3,99.3,8.04,1904,1.2,52.71,5.47,33.27,1.584310189
